journal_name_clean,n
clinicaltrials.gov.,109
Kidney International Reports,75
American Journal of Tropical Medicine and Hygiene,59
Ssrn.,44
International Journal of Infectious Diseases,37
Disease Surveillance,30
Military Medicine,27
Blood,25
Annals of Oncology,23
Lancet,23
The Lancet Global Health,20
Topics in Antiviral Medicine,19
The Journal of Trauma and Acute Care Surgery,18
Vaccine,17
Journal of Special Operations Medicine,15
Prehospital & Disaster Medicine,14
Weekly Epidemiological Record,13
Wiadomosci Lekarskie,12
Annals of Global Health,9
Medecine d'Afrique Noire,9
Medical Forum Monthly,9
Tropical Medicine and International Health,9
Clinical Nutrition ESPEN,8
JAMA Network Open,8
Pan African Medical Journal,8
Acta Tropica,7
"American Journal of Respiratory and Critical Care Medicine. Conference: American Thoracic Society International Conference, ATS",7
Global Public Health,7
Informe Quincenal Epidemiologico Nacional,7
Journal of Infection and Public Health,7
Pakistan Paediatric Journal,7
Brain and Spine,6
ESMO Open,6
Ethiopian Medical Journal,6
Injury,6
Preventive Veterinary Medicine,6
Value in Health,6
West African Journal of Medicine,6
African Journal of Clinical and Experimental Microbiology,5
American Journal of Emergency Medicine,5
American Journal of Gastroenterology,5
Annals of Emergency Medicine,5
Annals of Hepatology,5
Archives of Disease in Childhood,5
BMJ Military Health,5
Cardiovascular Journal of Africa,5
Disaster Medicine & Public Health Preparedness,5
European Journal of Surgical Oncology,5
Indian Journal of Public Health Research and Development,5
International Journal of Epidemiology,5
International Journal of Gynecology and Obstetrics,5
International Journal of Public Health,5
Journal de Pediatrie et de Puericulture,5
Journal of Ayub Medical College,5
Journal of Craniofacial Surgery,5
Journal of Medical Virology,5
Journal of Neurosurgery,5
Journal of the American Academy of Child and Adolescent Psychiatry,5
"Medicine, Conflict & Survival",5
Nigerian Journal of Clinical Practice,5
Pediatric Critical Care Medicine,5
Social Science & Medicine,5
The Lancet Infectious Diseases,5
World Journal of Surgery,5
American Journal of Physical Anthropology,4
Annals of African Medicine,4
Annals of Surgery,4
East African Medical Journal,4
European Journal of Clinical Microbiology & Infectious Diseases,4
HPS Weekly Report,4
International Journal of Gynaecology & Obstetrics,4
JMIR Public Health and Surveillance,4
Journal of Infectious Diseases,4
Journal of Pediatric Surgery,4
Journal of Tropical Pediatrics,4
Journal of Water and Health,4
Journal of the American College of Surgeons,4
Journal of the Royal Army Medical Corps,4
Lancet Infectious Diseases,4
Mali Medical,4
Mathematical Biosciences,4
Military medicine,4
New England Journal of Medicine,4
Nigerian Postgraduate Medical Journal,4
PLoS currents,4
Pakistan Journal of Medical and Health Sciences,4
Pediatric Blood and Cancer,4
Public Health,4
Sustainability,4
Transactions of the Royal Society of Tropical Medicine & Hygiene,4
Transactions of the Royal Society of Tropical Medicine and Hygiene,4
AIDS,3
Academic Journal of Naval Medical University,3
American Journal of Public Health,3
Annales Medico-Psychologiques,3
Annals of Ibadan Postgraduate Medicine,3
BMJ,3
Bulletin de la Societe de Pathologie Exotique,3
Clinical Toxicology,3
"Critical Care Medicine. Conference: 54th Critical Care Congress of the Society of Critical Care Medicine, SCCM",3
Current Pediatric Research,3
Eastern Mediterranean Health Journal,3
Ethiopian Journal of Health Development,3
European Journal of Molecular and Clinical Medicine,3
European Journal of Public Health,3
European Respiratory Journal,3
Health Policy & Planning,3
Horizonte Medico,3
Hpb,3
Human Reproduction,3
Indian Journal of Forensic Medicine and Toxicology,3
International Journal of Health Planning & Management,3
JPMA - Journal of the Pakistan Medical Association,3
Journal of Acquired Immune Deficiency Syndromes,3
"Journal of Ayub Medical College, Abbottabad: JAMC",3
Journal of Clinical Oncology. Conference,3
Journal of Hepatology,3
Journal of Hypertension,3
Journal of Pediatric Gastroenterology and Nutrition,3
Journal of Postgraduate Medical Institute,3
Journal of Vascular Surgery,3
Journal of special operations medicine : a peer reviewed journal for SOF medical professionals,3
Journal of the American Society of Nephrology,3
Journal of the Pediatric Infectious Diseases Society,3
Medical Journal of Malaysia,3
National Epidemiological Report REN,3
Nephrology Dialysis Transplantation,3
Pakistan Journal of Pharmaceutical Sciences,3
Prehospital Emergency Care,3
Pure and Applied Biology,3
Rawal Medical Journal,3
Revista Espanola de Salud Publica,3
Revista de Gastroenterologia del Peru,3
Science of the Total Environment,3
Social Science and Medicine,3
The Lancet. HIV,3
The Medical journal / US Army Medical Center of Excellence,3
Tropical Medicine & International Health,3
"Wiadomosci lekarskie (Warsaw, Poland : 1960)",3
Aids,2
American Journal of Epidemiology,2
American Journal of Respiratory and Critical Care Medicine. Conference,2
Anesthesia and Analgesia,2
Anesthesie et Reanimation,2
Annales de Cardiologie et d Angeiologie,2
Annals of Nutrition and Metabolism,2
Annals of the American Thoracic Society,2
Archives de Pediatrie,2
Archives of Iranian Medicine,2
Archives of Virology,2
Asian Pacific Journal of Tropical Medicine,2
Bahrain Medical Bulletin,2
Birth Defects Research,2
"Blood. Conference: 59th Annual Meeting of the American Society of Hematology, ASH",2
"Blood. Conference: 60th Annual Meeting of the American Society of Hematology, ASH",2
Boletin de Malariologia y Salud Ambiental,2
Brazilian Journal of Anesthesiology,2
Cadernos de Saude Publica,2
"Cancer Research. Conference: San Antonio Breast Cancer Symposium. San Antonio, TX United States",2
Chest,2
Chinese Journal of Disease Control and Prevention,2
Clinica Chimica Acta,2
Clinical Epidemiology and Global Health,2
Clinical Infection in Practice,2
Clinical Nutrition Open Science,2
Cogent Medicine,2
Critical Care Medicine,2
Current Trauma Reports,2
Current Tropical Medicine Reports,2
Diabetes,2
Environmental Research,2
Epidemics,2
Epidemiologia e Prevenzione,2
European Heart Journal,2
European Journal of Cancer,2
European Journal of Clinical Investigation,2
European Journal of Trauma & Emergency Surgery,2
European Review for Medical & Pharmacological Sciences,2
FASEB Journal. Conference: Experimental Biology,2
Georgian Medical News,2
Gut,2
HIV Medicine,2
Health Security,2
Human Antibodies,2
Infectious Diseases Now,2
International Journal of Agricultural and Statistical Sciences,2
Iranian Journal of Epidemiology,2
Israel Medical Association Journal: Imaj,2
JAMA Pediatrics,2
JAMA Surgery,2
"JAMA, Journal of the American Medical Association",2
"JCPSP, Journal of the College of Physicians and Surgeons Pakistan",2
"Jcpsp, Journal of the College of Physicians & Surgeons - Pakistan",2
Journal of Adolescent Health,2
Journal of Burn Care & Research,2
Journal of Burn Care and Research,2
Journal of Cardiovascular Disease Research,2
Journal of Clinical Rheumatology,2
Journal of Clinical Virology,2
"Journal of Emergency Medicine, Trauma and Acute Care",2
"Journal of Emergency Medicine, Trauma and Acute Care. Conference",2
Journal of Environment and Earth Science,2
Journal of Epidemiology and Community Health,2
Journal of Global Antimicrobial Resistance,2
Journal of Global Oncology,2
Journal of Hospital Infection,2
Journal of Infection,2
Journal of Infection in Developing Countries,2
Journal of Interpersonal Violence,2
Journal of Medical Internet Research,2
Journal of Medicine in the Tropics,2
Journal of Pain and Symptom Management,2
Journal of Pediatric Hematology/Oncology,2
Journal of Population Therapeutics and Clinical Pharmacology,2
Journal of Public Health in Africa,2
Journal of Viral Hepatitis,2
Journal of the Pakistan Medical Association,2
Jpen: Journal of Parenteral & Enteral Nutrition,2
Lassa fever Annual Epidemiological Report for,2
Legal Medicine,2
MEDICC Review,2
Malaria Journal,2
Medecine et Sante Tropicales,2
Microbial Pathogenesis,2
Morbidity and Mortality Weekly Report,2
Mycoses,2
Neurosurgery,2
Nigerian Journal of Basic and Clinical Sciences,2
Nigerian Medical Journal,2
Nigerian Veterinary Journal,2
Obesity Surgery,2
One Health Cases,2
Oral Diseases,2
Paediatrics & international Child Health,2
Pakistan Journal of Public Health,2
Pancreatology,2
Pediatric Emergency Care,2
Pediatric Infectious Disease Journal,2
Pediatrics,2
Population and Development Review,2
Pregnancy Hypertension,2
Prehospital and disaster medicine,2
Research Journal of Pharmacy and Technology,2
Research in Veterinary Science,2
Revista Colombiana de Psiquiatria,2
Revista Cubana de Medicina Tropical,2
Revista Espanola de Geriatria y Gerontologia,2
Revista Panamericana de Salud Publica/Pan American Journal of Public Health,2
Revista de Salud Publica,2
Sante Publique (Vandoeuvre-Les-Nancey),2
Science,2
Southern Medical Journal,2
Systematic Reviews in Pharmacy,2
Telemedicine Journal & E-Health,2
The International Bank for Reconstruction and Development / The World Bank. 3rd Chapter,2
The Lancet Healthy Longevity,2
The lancet. Planetary Health,2
The lancet. Public Health,2
Tobacco Induced Diseases,2
Travel Medicine and Infectious Disease,2
US Army Medical Department Journal,2
World Development,2
World Neurosurgery,2
bioRxiv.,2
AIDS & Behavior,1
AIDS Care,1
AIDS Research and Human Retroviruses,1
Academic Emergency Medicine,1
Academic Journal of Second Military Medical University,1
Acta Chirurgica Belgica,1
Acta Gastroenterologica Latinoamericana,1
Advances in Experimental Medicine & Biology,1
"Advances in Gerontology = Uspekhi Gerontologii/Rossiiskaia Akademiia Nauk, Gerontologicheskoe Obshchestvo",1
Advances in Neonatal Care,1
Advances in gerontology = Uspekhi gerontologii,1
Afghanistan: demographic and health survey,1
African Affairs,1
African Development Review,1
African Journal of AIDS Research,1
African Journal of Biomedical Research,1
African Journal of Reproductive Health,1
African Journal of Respiratory Medicine,1
African Population Studies,1
African Study Monographs,1
Ageing Research Reviews,1
"Aging, Clinical and Experimental Research",1
Agricultural Science Digest,1
Air Medical Journal,1
Al Ameen Journal of Medical Sciences,1
Alergologia Polska - Polish Journal of Allergology,1
Allocating HIV funding efficiently in Myanmar: analyses using the optima HIV model,1
Alzheimer's and Dementia,1
American Journal of Blood Research,1
American Journal of Clinical Nutrition,1
American Journal of Emergency Medicine September,1
"American Journal of Medical Genetics, Part C: Seminars in Medical Genetics",1
American Journal of Obstetrics and Gynecology MFM,1
American Journal of Surgery,1
American Journal of Tropical Medicine & Hygiene,1
American journal of public health,1
Anasthesiologie und Intensivmedizin,1
Andrology,1
Anesthesia & Analgesia,1
Anesthesia and Analgesi,1
Annals of Clinical Psychiatry,1
Annals of Vascular Surgery,1
Annals of the Association of American Geographers,1
Annals of the New York Academy of Sciences,1
Anti-Infective Agents,1
